genome_name,name,Completeness,Contamination,ncbi_lineage,gtdb_taxonomy,Phyla,Group,strain,biosample,bioproject,study,reference,code,accession,assemly_status,size,gc,replicons,wgs,scaffolds,cds,release_date,genbank_ftp,refseq_ftp
GCA_000747085.1,Smithella sp. F21,52.26,1.45,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA8904;s__,Deltaproteobacteria,Deltaproteobacteria,F21,SAMN03002179,PRJNA259219,Isolate sequencing,Tan et al. 2014,Isolate,GCA_000747085.1,Scaffold,1.6336,49.9,,JQIE01,245,1346,2014-09-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/747/085/GCA_000747085.1_ASM74708v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/747/085/GCF_000747085.1_ASM74708v1
GCA_002067815.1,Syntrophus sp. PtaB.Bin001,87.24,3.49,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Syntrophaceae;g__Syntrophus;s__,Deltaproteobacteria,Deltaproteobacteria,PtaB.Bin001,SAMN04534970,PRJNA310790,sludge wastewater metagenome,Nobu et al. 2017,Engineered,GCA_002067815.1,Contig,2.83736,48.9,,MVQR01,582,2725,2017-03-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/067/815/GCA_002067815.1_ASM206781v1,
GCA_002068025.1,Syntrophus sp. PtaU1.Bin208,67.43,3.55,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Syntrophaceae;g__Syntrophus;s__,Deltaproteobacteria,Deltaproteobacteria,PtaU1.Bin208,SAMN04534976,PRJNA310790,sludge wastewater metagenome,Nobu et al. 2017,Engineered,GCA_002068025.1,Contig,2.54554,53.8,,MVRW01,328,2417,2017-03-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/068/025/GCA_002068025.1_ASM206802v1,
GCA_002067245.1,Syntrophus sp. PtaB.Bin138,93.55,9.97,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Syntrophaceae;g__Syntrophus;s__,Deltaproteobacteria,Deltaproteobacteria,PtaB.Bin138,SAMN04534973,PRJNA310790,sludge wastewater metagenome,Nobu et al. 2017,Engineered,GCA_002067245.1,Contig,3.60944,55.1,,MVQU01,204,3378,2017-03-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/067/245/GCA_002067245.1_ASM206724v1,
GCA_002067745.1,Syntrophus sp. PtaU1.Bin005,90.97,3.55,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Syntrophaceae;g__Syntrophus;s__,Deltaproteobacteria,Deltaproteobacteria,PtaU1.Bin005,SAMN04534974,PRJNA310790,sludge wastewater metagenome,Nobu et al. 2017,Engineered,GCA_002067745.1,Contig,2.90416,55.1,,MVRU01,165,2616,2017-03-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/067/745/GCA_002067745.1_ASM206774v1,
bacteria23267,Deltaproteobacteria,85.29,7.8,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__UBA5619;s__,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__UBA5619;s__,Deltaproteobacteria,Deltaproteobacteria,K_DeepCast_150m_m2_113,NA,NA,lake tanganyika metagenome,Tran et al. unpublished,Freshwater,NA,Contig,3.56,57.9,NA,NA,NA,NA,2019,NA,NA
bacteria01060v2,Deltaproteobacteria,95.65,6.13,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__;g__;s__,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA2185;g__;s__,Deltaproteobacteria,Deltaproteobacteria,M_DeepCast_400m_m1_009,NA,NA,lake tanganyika metagenome,Tran et al. unpublished,Freshwater,NA,Contig,2.4,49.2,NA,NA,NA,NA,2019,NA,NA
GCA_001603855.1,Syntrophobacterales bacterium Delta_03,70.41,6.83,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__PHBD01;g__PHBD01;s__,Deltaproteobacteria,Deltaproteobacteria,Delta_03,SAMN03837532,PRJNA284316,anaerobic digester metagenome,NA,Engineered,GCA_001603855.1,Scaffold,3.16393,61.5,,LVAB01,760,0,2016-03-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/603/855/GCA_001603855.1_ASM160385v1,
GCA_002068035.1,Syntrophaceae bacterium PtaU1.Bin231,84.89,9.93,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA6109;g__UBA6109;s__,Deltaproteobacteria,Deltaproteobacteria,PtaU1.Bin231,SAMN04534977,PRJNA310790,sludge wastewater metagenome,Nobu et al. 2017,Engineered,GCA_002068035.1,Contig,4.2121,61.6,,MVRX01,603,4021,2017-03-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/068/035/GCA_002068035.1_ASM206803v1,
GCA_001797865.1,Deltaproteobacteria bacterium RBG_16_48_10,57.99,13.23,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__;s__,Deltaproteobacteria,Deltaproteobacteria,,SAMN04314277,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001797865.1,Scaffold,3.33026,47.7,,MGQP01,201,2833,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/797/865/GCA_001797865.1_ASM179786v1,
bacteria23257,Deltaproteobacteria,85.66,3.73,d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__;s__,d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__RBG-16-49-23;s__,Deltaproteobacteria,Deltaproteobacteria,K_DeepCast_100m_m1_199,NA,NA,lake tanganyika metagenome,Tran et al. unpublished,Freshwater,NA,Contig,3.97,48.3,NA,NA,NA,NA,2019,NA,NA
bacteria23263,Deltaproteobacteria,80.32,3.23,d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__;s__,d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__RBG-16-49-23;s__,Deltaproteobacteria,Deltaproteobacteria,K_DeepCast_100m_mx_276,NA,NA,lake tanganyika metagenome,Tran et al. unpublished,Freshwater,NA,Contig,4.08,47.3,NA,NA,NA,NA,2019,NA,NA
bacteria23268,Deltaproteobacteria,81.45,8.41,d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__;s__,d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__RBG-16-49-23;s__,Deltaproteobacteria,Deltaproteobacteria,K_DeepCast_150m_m2_257,NA,NA,lake tanganyika metagenome,Tran et al. unpublished,Freshwater,NA,Contig,4.09,46.7,NA,NA,NA,NA,2019,NA,NA
GCA_002067235.1,Syntrophorhabdus sp. PtaB.Bin047,90.31,4.2,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__Delta-02;s__,Deltaproteobacteria,Deltaproteobacteria,PtaB.Bin047,SAMN04534964,PRJNA310790,sludge wastewater metagenome,Nobu et al. 2017,Engineered,GCA_002067235.1,Contig,3.63772,57.6,,MVQP01,269,3539,2017-03-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/067/235/GCA_002067235.1_ASM206723v1,
GCA_003155375.1,Syntrophaceae bacterium,71.13,4.98,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__;s__,Deltaproteobacteria,Deltaproteobacteria,fen_1140,SAMN08179771,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003155375.1,Scaffold,3.06674,46.8,,PMCI01,568,0,2018-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/155/375/GCA_003155375.1_20120700_E3M,
GCA_002067975.1,Syntrophorhabdus sp. PtaU1.Bin058,87.1,1.29,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__UBA5609;s__,Deltaproteobacteria,Deltaproteobacteria,PtaU1.Bin058,SAMN04534968,PRJNA310790,sludge wastewater metagenome,Nobu et al. 2017,Engineered,GCA_002067975.1,Contig,3.44512,51.1,,MVRS01,263,3200,2017-03-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/067/975/GCA_002067975.1_ASM206797v1,
GCA_002067445.1,Syntrophorhabdus sp. PtaU1.Bin050,82.3,8.85,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__Syntrophorhabdus;s__,Deltaproteobacteria,Deltaproteobacteria,PtaU1.Bin050,SAMN04534967,PRJNA310790,sludge wastewater metagenome,Nobu et al. 2017,Engineered,GCA_002067445.1,Contig,3.6469,50.5,,MVRR01,302,3538,2017-03-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/067/445/GCA_002067445.1_ASM206744v1,
GCA_002067415.1,Syntrophorhabdus sp. PtaU1.Bin002,84.82,4.2,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__Syntrophorhabdus;s__,Deltaproteobacteria,Deltaproteobacteria,PtaU1.Bin002,SAMN04534966,PRJNA310790,sludge wastewater metagenome,Nobu et al. 2017,Engineered,GCA_002067415.1,Contig,3.23371,50.5,,MVRQ01,369,3174,2017-03-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/067/415/GCA_002067415.1_ASM206741v1,
GCA_002067475.1,Syntrophorhabdus sp. PtaU1.Bin153,87.42,5.16,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__Syntrophorhabdus;s__,Deltaproteobacteria,Deltaproteobacteria,PtaU1.Bin153,SAMN04534969,PRJNA310790,sludge wastewater metagenome,Nobu et al. 2017,Engineered,GCA_002067475.1,Contig,3.90913,51,,MVRT01,287,3783,2017-03-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/067/475/GCA_002067475.1_ASM206747v1,
GCA_002067165.1,Syntrophorhabdus sp. PtaB.Bin006,92.44,3.36,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__Syntrophorhabdus;s__,Deltaproteobacteria,Deltaproteobacteria,PtaB.Bin006,SAMN04534962,PRJNA310790,sludge wastewater metagenome,Nobu et al. 2017,Engineered,GCA_002067165.1,Contig,3.48845,50.7,,MVQN01,255,3328,2017-03-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/067/165/GCA_002067165.1_ASM206716v1,
GCA_002067585.1,Syntrophorhabdus sp. PtaB.Bin027,89.03,2.94,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__Syntrophorhabdus;s__,Deltaproteobacteria,Deltaproteobacteria,PtaB.Bin027,SAMN04534963,PRJNA310790,sludge wastewater metagenome,Nobu et al. 2017,Engineered,GCA_002067585.1,Contig,3.07402,43.8,,MVQO01,237,2970,2017-03-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/067/585/GCA_002067585.1_ASM206758v1,
GCA_002067405.1,Syntrophorhabdaceae bacterium PtaU1.Bin034,86.9,1.29,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia;o__Syntrophorhabdales;f__WCHB1-27;g__BOG-1155;s__,Deltaproteobacteria,Deltaproteobacteria,PtaU1.Bin034,SAMN04534961,PRJNA310790,sludge wastewater metagenome,Nobu et al. 2017,Engineered,GCA_002067405.1,Contig,5.01842,53.8,,MVRP01,407,4890,2017-03-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/067/405/GCA_002067405.1_ASM206740v1,
bacteria23265,Deltaproteobacteria,97.1,0.04,d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__;f__;g__;s__,d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__Desulfomonilales;f__Desulfomonilaceae;g__;s__,Deltaproteobacteria,Deltaproteobacteria,K_DeepCast_150m_m1_199,NA,NA,lake tanganyika metagenome,Tran et al. unpublished,Freshwater,NA,Contig,4.71,56.6,NA,NA,NA,NA,2019,NA,NA
bacteria30024,Syntrophobacterales_0007,78.67,1.95,d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__Desulfomonilales;f__Desulfomonilaceae;g__;s__,d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__Desulfomonilales;f__Desulfomonilaceae;g__;s__,Deltaproteobacteria,Deltaproteobacteria,Syntrophobacterales_0007,NA,NA,hypolimnion lake mendota metagenome,Peterson et al. unpublished,Freshwater,NA,Contig,3.7,46.3,NA,NA,NA,NA,2019,NA,NA
bacteria23272,Deltaproteobacteria,59.61,7.04,d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__;f__;g__;s__,d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__Desulfomonilales;f__Desulfomonilaceae;g__;s__,Deltaproteobacteria,Deltaproteobacteria,K_DeepCast_300m_mx_218,NA,NA,lake tanganyika metagenome,Tran et al. unpublished,Freshwater,NA,Contig,4.48,55,NA,NA,NA,NA,2019,NA,NA
GCA_006226895.1,Deltaproteobacteria bacterium,65.68,0,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__BM103;g__BM103;s__,Deltaproteobacteria,Deltaproteobacteria,M0040,SAMN10716081,PRJNA427763,Freshwater Sediment metagenome,Zhang et al. 2019,Freshwater,GCA_006226895.1,Contig,1.62552,53,,SBFN01,270,1504,2019-06-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/226/895/GCA_006226895.1_ASM622689v1,
GCA_003246975.1,Desulfuromonadaceae bacterium,56.47,1.68,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__BM103;g__;s__,Deltaproteobacteria,Deltaproteobacteria,SZUA-405,SAMN09287953,PRJNA385762,Hydrothermal Vent metagenome,NA,Hydrothermal Vent,GCA_003246975.1,Contig,1.30459,60.1,,QKBT01,264,0,2018-06-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/246/975/GCA_003246975.1_ASM324697v1,
GCA_005774545.1,Deltaproteobacteria bacterium,99.35,0.65,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__BM103;g__;s__,Deltaproteobacteria,Deltaproteobacteria,D1FN1.001,SAMN11586698,PRJNA505658,Freshwater Sediment metagenome,NA,Freshwater,GCA_005774545.1,Scaffold,3.101,65.3,,VAUL01,115,2771,2019-05-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/774/545/GCA_005774545.1_ASM577454v1,
GCA_003250215.1,Malonomonas rubra,70.3,8.55,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__Geopsychrobacteraceae;g__Malonomonas;s__,Deltaproteobacteria,Deltaproteobacteria,SZUA-542,SAMN09288090,PRJNA385762,Hydrothermal Vent metagenome,NA,Hydrothermal Vent,GCA_003250215.1,Contig,2.61007,56.7,,QKHA01,557,0,2018-06-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/250/215/GCA_003250215.1_ASM325021v1,
GCA_004117875.1,Geobacter sp. S43,99.35,0.65,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_A;s__,Deltaproteobacteria,Deltaproteobacteria,S43,SAMN10120071,PRJNA492970,Isolate sequencing,NA,Isolate,GCA_004117875.1,Contig,4.93337,61.2,,RAHW01,18,4180,2019-01-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/117/875/GCA_004117875.1_ASM411787v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/117/875/GCF_004117875.1_ASM411787v1
GCA_004917075.1,Geobacter sp. Red53,99.35,0,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_A;s__,Deltaproteobacteria,Deltaproteobacteria,Red53,SAMN11431120,PRJNA532977,Isolate sequencing,NA,Isolate,GCA_004917075.1,Contig,4.75899,60.5,,SSYB01,17,4076,2019-04-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/917/075/GCA_004917075.1_ASM491707v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/917/075/GCF_004917075.1_ASM491707v1
GCA_004917065.1,Geobacter sp. S62,99.35,0,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_A;s__,Deltaproteobacteria,Deltaproteobacteria,S62,SAMN11431134,PRJNA532986,Isolate sequencing,NA,Isolate,GCA_004917065.1,Contig,4.80851,60.7,,SSYA01,14,4133,2019-04-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/917/065/GCA_004917065.1_ASM491706v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/917/065/GCF_004917065.1_ASM491706v1
GCA_004791675.1,Geobacter sp. Red111,97.42,0.65,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_A;s__,Deltaproteobacteria,Deltaproteobacteria,Red111,SAMN11294237,PRJNA530091,Isolate sequencing,NA,Isolate,GCA_004791675.1,Scaffold,4.6969,61,,SRSC01,7,3963,2019-04-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/791/675/GCA_004791675.1_ASM479167v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/791/675/GCF_004791675.1_ASM479167v1
GCA_007559175.1,Geobacter sp.,99.35,1.29,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_A;s__,Deltaproteobacteria,Deltaproteobacteria,H1geo,SAMN12340367,PRJNA340218,biofilm metagenome,Ishii et al. 2020,Engineered,GCA_007559175.1,Contig,4.71735,60.5,,VMKF01,9,4165,2019-07-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/559/175/GCA_007559175.1_ASM755917v1,
bacteria30019,Geobacteerales_0032,96.52,4.26,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__;s__,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__;s__,Deltaproteobacteria,Deltaproteobacteria,Geobacteerales_0032,NA,NA,hypolimnion lake mendota metagenome,Peterson et al. unpublished,Freshwater,NA,Contig,4.01,55,NA,NA,NA,NA,2019,NA,NA
GCA_003574885.1,Geobacter sp.,99.35,0,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__;s__,Deltaproteobacteria,Deltaproteobacteria,H2geo,SAMN08148520,PRJNA340218,biofilm metagenome,Ishii et al. 2018,Engineered,GCA_003574885.1,Contig,3.46995,56.1,,PJFC01,23,3078,2018-09-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/574/885/GCA_003574885.1_ASM357488v1,
GCA_003712145.1,Desulfuromonadales bacterium,99.26,0.65,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__,Deltaproteobacteria,Deltaproteobacteria,GT-UBC1,SAMN10343599,PRJNA489678,Freshwater Sediment metagenome,NA,Freshwater,GCA_003712145.1,Scaffold,4.04163,59.9,,RHLS01,110,3629,2018-11-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/712/145/GCA_003712145.1_ASM371214v1,
GCA_003857395.1,Geobacter sp.,97.38,8.71,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__;s__,Deltaproteobacteria,Deltaproteobacteria,metabat2.715,SAMN10417397,PRJNA330672,Sediment metagenome/Wetlands Sediment,Dalcin Martins et al. 2018,Sediment,GCA_003857395.1,Contig,4.33198,51.3,,RPRC01,621,4149,2018-12-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/857/395/GCA_003857395.1_ASM385739v1,
GCA_003574895.1,Geobacter sp.,99.95,1.29,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__Pelobacter_C;s__,Deltaproteobacteria,Deltaproteobacteria,L1geo,SAMN08148491,PRJNA340218,biofilm metagenome,Ishii et al. 2019,Engineered,GCA_003574895.1,Contig,4.4767,54.2,,PJFB01,39,3812,2018-09-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/574/895/GCA_003574895.1_ASM357489v1,
bacteria30018,Geobacterales_0030,93.08,2.8,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__UBA8499;s__,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__UBA8499;s__,Deltaproteobacteria,Deltaproteobacteria,Geobacterales_0030,NA,NA,hypolimnion lake mendota metagenome,Peterson et al. unpublished,Freshwater,NA,Contig,3.948,48.9,NA,NA,NA,NA,2019,NA,NA
GCA_001802095.1,Geobacteraceae bacterium GWB2_52_12,62.89,8.39,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__;s__,Deltaproteobacteria,Deltaproteobacteria,,SAMN04313901,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001802095.1,Scaffold,2.96288,51,,MGZH01,265,2246,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/802/095/GCA_001802095.1_ASM180209v1,
GCA_004321925.1,Nitrospirae bacterium,100,5.45,Bacteria;Nitrospirae;unclassified Nitrospirae,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA6898;g__PALSA-1316;s__,Nitrospirae,Nitrospirae,DP16D_bin.48,SAMN10720109,PRJNA514088,groundwater metagenome,NA,Subsurface,GCA_004321925.1,Contig,3.22633,54.5,,SCQH01,120,3020,2019-02-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/321/925/GCA_004321925.1_ASM432192v1,
GCA_004298625.1,Nitrospirae bacterium,96.14,8.18,Bacteria;Nitrospirae;unclassified Nitrospirae,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__;s__,Nitrospirae,Nitrospirae,FW300_bin.22,SAMN10720178,PRJNA514088,groundwater metagenome,NA,Subsurface,GCA_004298625.1,Contig,2.33883,45.5,,SCSY01,416,2481,2019-02-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/298/625/GCA_004298625.1_ASM429862v1,
GCA_004321915.1,Nitrospirae bacterium,98.18,2.73,Bacteria;Nitrospirae;unclassified Nitrospirae,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA9935;g__MYbin3;s__,Nitrospirae,Nitrospirae,DP16D_bin.35,SAMN10720106,PRJNA514088,groundwater metagenome,NA,Subsurface,GCA_004321915.1,Contig,3.62672,48.5,,SCQE01,145,3489,2019-02-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/321/915/GCA_004321915.1_ASM432191v1,
GCA_004376055.1,Nitrospirales bacterium LBB_01,65.15,1.82,Bacteria;Nitrospirae;Nitrospira,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Magnetobacteriaceae;g__;s__,Nitrospirae,Nitrospirae,LBB_01,SAMN11125809,PRJNA527025,Isolate sequencing,NA,Isolate,GCA_004376055.1,Scaffold,2.3143,42.1,,SNNQ01,1154,2709,2019-03-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/376/055/GCA_004376055.1_ASM437605v1,
GCA_001803845.1,Nitrospirae bacterium RBG_19FT_COMBO_55_12,53.41,0,Bacteria;Nitrospirae;unclassified Nitrospirae,d__Bacteria;p__Nitrospirota;c__UBA9217;o__UBA9217;f__UBA9217;g__;s__,Nitrospirae,Nitrospirae,,SAMN04314067,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001803845.1,Scaffold,1.74475,52.2,,MHEM01,172,1067,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/803/845/GCA_001803845.1_ASM180384v1,
